date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:14:39;1;1;0.53;-0.29;1.57;-81.71;-1.67;-0.87
12/02/2020 11:14:40;1;0;0.55;-0.28;1.55;-81.59;-1.79;-0.63
12/02/2020 11:14:42;1;1;0.54;-0.29;1.57;-81.59;-1.74;-0.56
12/02/2020 11:14:43;2;0;0.56;-0.20;2.08;-81.59;35.74;9.44
12/02/2020 11:14:44;1;0;0.54;-0.28;1.56;-81.59;-2.02;-0.62
12/02/2020 11:14:46;1;1;0.56;-0.27;1.51;-81.47;5.35;-11.53
12/02/2020 11:14:47;1;0;0.55;-0.29;1.56;-81.34;-2.26;-1.79
12/02/2020 11:14:49;1;4;0.55;-0.28;1.57;-81.47;-0.81;0.47
12/02/2020 11:14:50;1;2;0.58;-0.28;1.59;-81.47;-1.79;-0.85
12/02/2020 11:14:51;1;1;0.57;-0.29;1.55;-81.59;-1.84;-0.62
12/02/2020 11:14:53;1;1;0.56;-0.29;1.58;-81.71;-1.56;-0.69
12/02/2020 11:14:54;1;1;0.57;-0.29;1.54;-81.71;-1.50;-0.30
12/02/2020 11:14:56;1;0;0.56;-0.30;1.54;-81.71;-1.59;-0.54
12/02/2020 11:14:57;1;0;0.56;-0.30;1.57;-81.83;-1.86;-0.73
12/02/2020 11:14:58;1;0;0.55;-0.30;1.55;-81.59;-1.80;-0.68
12/02/2020 11:15:00;1;0;0.59;-0.28;1.54;-81.34;-1.78;-0.66
12/02/2020 11:15:01;1;0;0.57;-0.30;1.54;-81.83;-2.01;-0.76
12/02/2020 11:15:03;1;1;0.37;-0.62;0.83;-81.83;35.89;8.79
12/02/2020 11:15:04;1;1;0.58;-0.29;1.57;-81.59;-1.48;-0.34
12/02/2020 11:15:05;1;1;0.57;-0.29;1.58;-81.59;-1.59;-0.24
12/02/2020 11:15:07;1;0;0.58;-0.29;1.58;-81.71;-0.77;1.05
12/02/2020 11:15:08;1;0;0.60;-0.34;1.58;-81.83;-2.48;-2.14
12/02/2020 11:15:10;1;1;0.51;-0.27;1.22;-81.59;-1.00;2.48
12/02/2020 11:15:11;1;0;0.58;-0.37;1.73;-81.71;-3.73;-3.28
12/02/2020 11:15:12;1;0;0.55;-0.24;1.35;-81.59;-1.08;2.43
12/02/2020 11:15:14;1;1;0.58;-0.34;1.62;-81.59;-2.76;-1.41
12/02/2020 11:15:15;1;1;0.55;-0.35;1.54;-82.08;-2.84;-0.82
12/02/2020 11:15:17;1;0;0.54;-0.28;1.45;-81.95;-1.08;0.67
12/02/2020 11:15:18;1;0;0.59;-0.36;1.77;-81.71;-4.60;-4.82
12/02/2020 11:15:19;1;0;0.56;-0.24;1.53;-81.83;-1.87;-2.46
12/02/2020 11:15:21;1;1;0.55;-0.19;1.43;-81.95;-0.22;0.94
12/02/2020 11:15:22;1;0;0.59;-0.29;1.66;-81.71;-0.98;-2.93
12/02/2020 11:15:24;1;0;0.57;-0.31;1.62;-81.71;0.50;-0.23
12/02/2020 11:15:25;1;1;0.59;-0.35;1.67;-81.71;-3.52;-4.00
12/02/2020 11:15:27;1;0;0.54;-0.27;1.52;-81.83;-1.79;-0.67
12/02/2020 11:15:28;1;0;0.56;-0.31;1.60;-82.08;-2.17;-1.43
12/02/2020 11:15:29;1;0;0.59;-0.29;1.55;-81.83;-3.50;-3.73
12/02/2020 11:15:31;1;0;0.58;-0.30;1.53;-81.95;-2.78;-2.14
12/02/2020 11:15:32;1;1;0.66;-0.39;1.27;-81.71;3.19;2.53
12/02/2020 11:15:34;1;4;0.72;-0.19;1.80;-81.95;4.59;-3.56
12/02/2020 11:15:35;1;3;0.92;-0.40;1.30;-81.71;-1.95;-3.73
12/02/2020 11:15:36;1;5;0.85;-0.60;1.31;-81.71;1.57;-5.68
12/02/2020 11:15:38;1;12;0.65;-0.28;1.52;-81.95;-3.50;1.27
12/02/2020 11:15:39;1;12;0.71;-0.16;1.25;-81.95;15.67;5.65
12/02/2020 11:15:41;2;16;0.84;-0.69;2.10;-81.83;-7.94;-6.37
12/02/2020 11:15:42;1;19;0.71;-0.38;1.69;-81.83;6.60;6.91
12/02/2020 11:15:45;1;26;0.69;-0.72;1.52;-81.34;-4.04;-11.89
12/02/2020 11:15:46;1;30;0.74;-0.24;1.39;-81.71;0.69;-3.39
12/02/2020 11:15:48;1;28;0.58;-0.33;1.46;-81.59;0.70;0.33
12/02/2020 11:15:49;1;30;0.61;-0.30;1.46;-81.59;-1.64;-0.89
12/02/2020 11:15:52;1;33;0.62;-0.38;1.74;-81.34;-4.31;-2.32
12/02/2020 11:15:53;1;33;0.61;-0.38;1.46;-81.59;-2.30;-0.37
12/02/2020 11:15:55;1;33;0.82;-0.24;1.80;-81.59;2.89;0.18
12/02/2020 11:15:56;1;34;0.58;-0.24;1.52;-81.34;0.85;0.85
12/02/2020 11:15:57;1;34;0.67;-0.32;1.66;-81.47;-0.71;-4.34
12/02/2020 11:15:59;1;33;0.62;-0.40;1.54;-81.34;3.48;6.19
12/02/2020 11:16:00;1;34;0.62;-0.46;1.35;-81.34;0.21;1.56
12/02/2020 11:16:02;1;34;0.69;-0.12;1.64;-81.59;-13.76;1.66
12/02/2020 11:16:03;1;33;0.36;-0.25;1.22;-81.71;2.98;7.47
12/02/2020 11:16:05;1;32;0.59;-0.14;1.37;-81.59;-5.82;-6.23
12/02/2020 11:16:06;1;33;0.51;-0.26;1.58;-81.59;-1.85;-0.47
12/02/2020 11:16:07;2;32;0.65;-0.42;2.02;-81.47;1.80;-0.88
12/02/2020 11:16:09;1;29;0.55;0.00;1.34;-81.34;0.17;0.25
12/02/2020 11:16:07;1;27;0.57;-0.20;1.74;-81.34;-3.79;-9.21
12/02/2020 11:16:09;1;22;0.68;0.19;1.41;-81.34;22.51;4.99
12/02/2020 11:16:10;1;20;0.58;-0.36;1.55;-81.34;-1.48;0.45
12/02/2020 11:16:12;1;21;0.48;-0.64;1.51;-81.47;-12.18;-7.07
12/02/2020 11:16:13;1;23;0.75;-0.37;1.65;-81.10;-2.67;-0.24
12/02/2020 11:16:14;1;25;0.63;-0.33;1.74;-81.10;-8.21;-12.70
12/02/2020 11:16:16;1;22;0.52;-0.35;1.80;-81.10;4.64;8.85
12/02/2020 11:16:17;1;27;0.58;-0.24;1.65;-81.10;-3.53;-1.45
12/02/2020 11:16:19;1;27;0.56;-0.11;1.30;-81.22;-1.02;6.85
12/02/2020 11:16:20;1;29;0.57;-0.27;1.38;-81.10;-3.42;-5.14
12/02/2020 11:16:22;1;23;0.89;-0.21;1.66;-81.10;11.92;-3.92
12/02/2020 11:16:23;1;26;0.88;-0.09;1.54;-81.10;-0.61;-3.95
12/02/2020 11:16:24;1;27;0.45;-0.09;1.38;-80.98;-4.78;-0.69
12/02/2020 11:16:26;1;23;0.26;-0.28;1.73;-80.98;-2.67;13.12
12/02/2020 11:16:27;1;22;0.10;-0.37;1.49;-81.10;-6.11;-0.63
